GALLERY_COPYRIGHT_NOTICE	Aviso de copyright de la galería
SITE_SERVICE_HIERARCHY	Nombre de la jerarquía del servicio del sitio
UPLOAD_PHOTO	subir foto
UPLOAD_PHOTOS	subir fotos
PREVIOUS	previo
NEXT	siguiente
TITLE	título
CAPTION	subtítulo
KEYWORDS	palabras clave
CREATOR	creador
PUBLISHED_PHOTOS	fotos publicadas
UNPUBLISHED_PHOTOS	fotos inéditas
PUBLISHED_GALLERIES	galerías publicados
UNPUBLISHED_GALLERIES	galerías inéditos
SPONSORED_GALLERIES	galerías patrocinadas
UNSPONSORED_GALLERIES	galerías no patrocinadas
SEARCH	Buscar
SEARCH_FOR	Buscar
DATE_RANGE	Rango de fechas
CREATED_DATE_RANGE	Rango de fechas creado
OR	O
FROM	de
TO	a
SEARCH_BY_LOCATION	búsqueda por ubicación
EVERYTHING	todo
LAST_24_HOURS	en las últimas 24 horas
LAST_WEEK	en la ultima semana
LAST_MONTH	en el último mes
ADDRESS_SEARCH	búsqueda de direcciones
LATITUDE	latitud
LONGITUDE	longitud
MILE	milla
MILES	millas
ID	Id
HEIGHT	altura
WIDTH	anchura
ORIGINAL_NAME	nombre original
RATING	clasificación
DATE_TAKEN	Fecha de Captura
DATE_CREATED	Fecha de Creacion
DATE_UPDATED	Fecha Actualizada
DATE_UPLOADED	Fecha de Subida
MAX_HEIGHT	altura
MAX_WIDTH	anchura
FULL_SIZE_URL	Ruta de acceso en Anglerfish
PUBLISH_PHOTO	publicar la foto
LOCATION	ubicación
ADDRESS	dirección
ADDRESS_LINE_1	Dirección Línea 1
ADDRESS_LINE_2	Dirección Línea 2
CITY	ciudad
STATE	estado
PROVINCE	provincia
COUNTRY	país
POSTAL_CODE	código ostal
BACK	espalda
SAVE	salvar
BACK_TO_GALLERY	volver a la galería
EDIT_PHOTO_DETAILS	Editar Detalles de Fotos
PHOTO_DETAILS	detalles de fotos
FILENAME	nombre del archivo
PREVIEW	avance
KEYWORDS_SEPARATED	las palabras clave se separted por
INPUT_MAX_255	de entrada no debe exceder de 255 caracteres
INPUT_MAX_1000	de entrada no debe exceder de 1000 caracteres
INPUT_MAX_5000	de entrada no debe exceder de 5000 caracteres
CONFIRM_DELETE_PHOTO	La eliminación de esta foto también se eliminará de todas las galerías asociadas. ¿estás seguro de que quieres eliminar esta foto?
CONFIRM_DELETE_PHOTOS	La eliminación de estas fotos también las eliminará de todas las galerías asociadas. ¿Seguro que quieres eliminar estas fotos? 
YES	sí
NO	no
DELETE_PHOTO_SUCCESS	Se ha eliminado la foto
DELETE_PHOTOS_SUCCESS	Eliminado correctamente 
DELETE_PHOTO_FAILURE	No se puede eliminar la foto
DELETE_PHOTOS_FAILURE	No se puede eliminar 
DELETE_PHOTO	Borrar foto
PHOTO_UPLOAD	Fotos Subir
UPLOAD	subir
UPLOAD_MULTIPLE_PHOTOS	Sube Múltiples Fotos
UPLOAD_FILE	subir archivo
UPLOAD_FILES	subir archivos
UPLOAD_PROGRESS	Cargando...
CANCEL	cancelar
REMOVE	retirar
FILE_TOO_LARGE	El archivo es demasiado grande debe ser inferior a
IMAGE_UPLOAD_FAILURE	La imagen no se ha subido correctamente.
INVALID_DATE	fecha invalida
UNABLE_TO_UPLOAD_PHOTO	No se puede subir la foto
IMAGE_UPLOAD_SUCCESS	Foto subido con éxito
IMAGE_UPDATE_FAILURE	No se puede actualizar la foto. 
IMAGE_UPDATE_FAILURE2	No se puede actualizar la foto
SUCCESSFUL_UPLOAD	Cargado con éxito
PHOTOS	fotos
PHOTOS_U	Fotos
PUBLISHED	publicado
UNPUBLISHED	no publicado
IMAGE_IS_PUBLISHED	Esta imagen es pública
IMAGE_IS_UNPUBLISHED	Esta imagen no es visible para el público
EDIT	editar
EDITOR_NOTE	Nota del editor
CLOSE	cerca
DASHBOARD	Tablero
EDIT_PROFILE	Editar Perfil
LOGOUT	Cerrar sesión
CREATE_GALLERY	nueva galería
NAME	Nombre
NEW_GALLERY_FAILURE	No se pudo crear la galería se recibió error
NEW_GALLERY_SUCCESS	Se ha creado correctamente la galería 
UPDATE_GALLERY_FAILURE	No se pudo actualizar la galería se recibió error
GALLERIES	galerías
CONFIRM_REMOVE_PHOTO_FROM_GALLERY	¿Estás seguro de tu quieres eliminar esta foto de la galería?
REMOVE_PHOTO	Retire las fotos
REMOVE_PHOTO_FAILURE	No se puede eliminar la foto de la galería ha obtenido un error
CONFIRM_DELETE	¿Estás seguro de que quieres borrar 
DELETE_GALLERY	Eliminar la Galería
DELETE_GALLERY_SUCCESS	Se ha eliminado la galería
DELETE_GALLERY_FAILURE	No se pudo eliminar la galería ha obtenido un error
SAVE_BEFORE_NAV_AWAY	¿Desea guardar los cambios de la galería antes de editar la foto de origen?
YES_SAVE	sí guardar
ADD_PHOTOS	Agregar Fotos
ADD_PHOTOS_SUCCESS	Fotos agregado con éxito
ADD_PHOTOS_ERROR	No se pudo añadir fotos a la galería ha obtenido un error
ADD_CAPTION	Añadir un subtitulo
UPDATE_COVER_FAILURE	No se puede actualizar la foto de portadaha obtenido un error
SETTINGS	ajustes
CONFIRM_DELETE_ROLE	Seguro que quieres eliminar el rol
DELETE_ROLE	eliminar rol
CONFIRMATION	Confirmación
CONFIRMATION_REQUIRED	Confirmación requerida
PUBLISH	publicar
UNPUBLISH	despublicación
SUCCESSFULLY_PUBLISHED	Publicado con éxito
COULD_NOT_PUBLISH	No se pudo publicar
GET_PHOTOS_FAILURE	No es posible obtener fotos organización
SAVE_SETTINGS_SUCCESS	Se ha guardado correctamente configuración de la organización
SAVE_SETTINGS_FAILURE	No se pudo guardar la configuración, ha obtenido un error: 
FIRST	primero
LAST	pasado
PHOTOS_PAGE_TITLE	Fotos
EDIT_PHOTO	editar foto
GALLERIES_PAGE_TITLE	Galerías
EDIT_GALLERY_PAGE_TITLE	Editar Galería
SETTINGS_PAGE_TITLE	Ajustes
SELECTOR_PAGE_TITLE	Selector
ROLES	papeles
COVER_PHOTO	Foto de cubierta
MAKE_COVER	Crear portada
ORDER_POSITION	Pedido/Posición:
INPUT_MAX_20	de entrada no debe exceder de 20 caracteres
RESET_TO_ORIGINAL	restablecer a la original
CREATE_ROLE	Crear Papel
NO_PHOTOS_FOUND	No se encontraron fotos.
NO_LIGHTBOXES_FOUND	No se encontraron lightboxes
NO_GALLERIES_FOUND	No se encontraron galerías.
DISPLAYING	Viendo
OUT_OF	 fuera de 
SELECT_PHOTOS_TO_PUBLISH	Las siguientes fotos no se publican, seleccione las fotos que desea publicar.
UNPUBLISHED_PHOTOS_MESSAGE	Las siguientes fotos no están publicados, pero no tienen acceso a publicarlos.
CUSTOM	personalizado
ALL	todas
START_DATE	fecha de inicio
END_DATE	fecha final
PROXIMITY	proximidad
SELECT_PHOTOS	seleccionar las fotos
ROLES_OFF	Los roles están apagados para su organización.
NO_ANGLERFISH_ROLES	Usted no pertenece a ningún rol de Anglerfish.
NEW_ROLE	Nuevo papel
PRIVILEGES	Privilegios
SHOW_USERS	mostrar a los usuarios
HIDE_USERS	ccultar usuarios
NO_USERS_ASSIGNED_TO_ROLE	No hay usuarios se asignan a este rol
ROLES_AND_PRIVILEGES	Roles y Privilegios
DEFAULT_LATITUDE	latitud predeterminado
DEFAULT_LONGITUDE	longitud predeterminada
DEFAULT_WEBSITE	sitio web predeterminada
LANGUAGE	idioma
MAX_VALUE_85	valor máximo es 85
