GALLERY_COPYRIGHT_NOTICE	Galerie Copyright-Hinweis
SITE_SERVICE_HIERARCHY	Name der Site Service Hierarchie
UPLOAD_PHOTO	Bild hochladen
UPLOAD_PHOTOS	Bilder hochladen
PREVIOUS	vorheriges
NEXT	nächstes
TITLE	Titel
CAPTION	Bildunterschrift
KEYWORDS	Keywords
CREATOR	Ersteller
PUBLISHED_PHOTOS	veröffentlichte Bilder
UNPUBLISHED_PHOTOS	unveröffentlichte Bilder
PUBLISHED_GALLERIES	veröffentlichte Galerien
UNPUBLISHED_GALLERIES	unveröffentlichte Galerien
SPONSORED_GALLERIES	gesponserte Galerien
UNSPONSORED_GALLERIES	nicht gesponserte Galerien
SEARCH	Suche
SEARCH_FOR	Suchen nach
DATE_RANGE	Zeitraum
CREATED_DATE_RANGE	Erstellter Zeitraum
OR	ODER
FROM	von
TO	bis
SEARCH_BY_LOCATION	Suche nach Ort
EVERYTHING	alles
LAST_24_HOURS	in den letzten 24 Stunden
LAST_WEEK	in der letzten Woche
LAST_MONTH	im letzten Monat
ADDRESS_SEARCH	Adresssuche
LATITUDE	Breitengrad
LONGITUDE	Längengrad
MILE	Meile
MILES	Meilen
ID	Id
HEIGHT	Höhe
WIDTH	Breite
ORIGINAL_NAME	Originalname
RATING	Bewertung
DATE_TAKEN	Datum der Erfassung
DATE_CREATED	Datum der Erstellung
DATE_UPDATED	Datum der Aktualisierung
DATE_UPLOADED	Upload Datum
MAX_HEIGHT	Höhe
MAX_WIDTH	Breite
FULL_SIZE_URL	Pfad in Anglerfish
PUBLISH_PHOTO	Bild veröffentlichen
LOCATION	Ort
ADDRESS	Adresse
ADDRESS_LINE_1	Adresszeile 1
ADDRESS_LINE_2	Adresszeile 2
CITY	Stadt
STATE	Bundesland
PROVINCE	Landkreis
COUNTRY	Land
POSTAL_CODE	Postleitzahl
BACK	zurück
SAVE	speichern
BACK_TO_GALLERY	zurück zur Galerie
EDIT_PHOTO_DETAILS	Bilddetails bearbeiten
PHOTO_DETAILS	Bilddetails
FILENAME	Dateiname
PREVIEW	Vorschau
KEYWORDS_SEPARATED	Keywords werden getrennt durch
INPUT_MAX_255	Eingabe darf nicht länger als 255 Zeichen sein
INPUT_MAX_1000	Eingabe darf nicht länger als 1000 Zeichen sein
INPUT_MAX_5000	Eingabe darf nicht länger als 5000 Zeichen sein
CONFIRM_DELETE_PHOTO	Durch Löschen des Bildes wird dieses auch aus allen verknüpften Galerien entfernt. Soll dieses Bild wirklich gelöscht werden?
CONFIRM_DELETE_PHOTOS	Durch Löschen der Bilder werden diese auch aus allen verknüpften Galerien entfernt. Sollen diese Bilder wirklich gelöscht werden?
YES	Ja
NO	Nein
DELETE_PHOTO_SUCCESS	Bild wurde erfolgreich gelöscht
DELETE_PHOTOS_SUCCESS	Erfolgreich gelöscht
DELETE_PHOTO_FAILURE	Bild konnte nicht gelöscht werden
DELETE_PHOTOS_FAILURE	Konnte nicht gelöscht werden
DELETE_PHOTO	Löschen
PHOTO_UPLOAD	Bild hochladen
UPLOAD	hochladen
UPLOAD_MULTIPLE_PHOTOS	Mehrere Bilder hochladen
UPLOAD_FILE	Datei hochladen
UPLOAD_FILES	Dateien hochladen
UPLOAD_PROGRESS	Hochladen ...
CANCEL	abbrechen
REMOVE	entfernen
FILE_TOO_LARGE	Die Datei ist zu groß. Sie muss kleiner sein als
IMAGE_UPLOAD_FAILURE	Das Bild wurde nicht erfolgreich hochgeladen.
INVALID_DATE	ungültiges Datum
UNABLE_TO_UPLOAD_PHOTO	Bild konnte nicht hochgeladen werden
IMAGE_UPLOAD_SUCCESS	Bild wurde erfolgreich hochgeladen
IMAGE_UPDATE_FAILURE	Bild konnte nicht aktualisiert werden.
IMAGE_UPDATE_FAILURE2	Bild konnte nicht aktualisiert werden
SUCCESSFUL_UPLOAD	Erfolgreich hochgeladen
